TC_ID,TC Name,TC Desciption,Test Step,Test Data,Test Result
Stratos_Home_FTS01,Home Tab,User should be able to see the Home Page with all the components.,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on home,,Home page should displayed
Stratos_Home_FTS02,Home TabMy Dashboard Link,User should be able to see the dashboard with all the components.,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on My Dashboard Link ,,My Dashboard page should displayed
Stratos_Home_FTS03,Home TabSetup link,User should be able to see the Setup page with all the components.,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Setup Link ,,Setup page should displayed
Stratos_Home_FTS04,Home TabAdmin Tools Link,User should be able to see the Admin Tools Page with all the components.,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Admin Tools Link ,,Admin Tools page should displayed
Stratos_Home_FTS05,Home TabUsers & Groups Link,User should be able to see the Users & Groups with all the components.,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Users & Groups Link ,,Users & groups page should displayed
Stratos_Home_FTS06,Home TabUsers & Groups Link,when user click on search button without any data in the user and groups text field error message should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Search Button,,Error Message to be Displayed
Stratos_Home_FTS07,Home TabUsers & Groups Link> User > New User,when user click on New User Link New user Creation page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Users & Groups Link,,
,,,4. Click on New user Link    ,,New User Page should be displayed
Stratos_Home_FTS08,Home TabUsers & Groups Link> User > List of Users,when user click on List of Users Link List User page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Users & Groups Link,,
,,,4. Click on List of Users Link    ,,List of Users Page should be displayed
Stratos_Home_FTS09,Home TabUsers & Groups Link> User > Hierarchical View,when user click on Hierarchical View Link Hierarchical page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Users & Groups Link,,
,,,4. Click on Hierarchical View Link    ,,List of Hierarchical View page should be dislayed
Stratos_Home_FTS10,Home TabUsers & Groups Link> User > Users tags/categories,when user click on Hierarchical View Link Users tags/categories page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Users & Groups Link,,
,,,4. Click on List of Users tags/categories    ,,Users tags/categories page should be dislayed
Stratos_Home_FTS11,Home TabUsers & Groups Link> Groups  > New Groups,when user click on New Groups Link New Groups page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Users & Groups Link,,
,,,4. Click on New Groups Link    ,,New Groups page should be dislayed
Stratos_Home_FTS12,Home TabUsers & Groups Link> Groups  > List of Groups,when user click on List of Groups Link List of Groups page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Users & Groups Link,,
,,,4. Click on List of Groups    ,,List of Groups page should be dislayed
Stratos_Home_FTS13,Home TabAdmin Tools Link > About Dolibarr,when user click on About Dolibarr Link About Dolibarr page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Admin Tools Link,,
,,,4. Click on About Dolibarr Link    ,,About Dolibarr page should be dislayed
Stratos_Home_FTS14,Home TabAdmin Tools Link > About Dolibarr > Modules/Apllications,when user click on Modules/Apllications LinkModules/Apllications page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Users & Groups Link,,
,,,4. Click on Modules/Apllications Link    ,,Modules/Apllications page should be dislayed
Stratos_Home_FTS15,Home TabAdmin Tools Link > About Dolibarr > Triggers,when user click on Triggers Link Triggers page should be displayed,1. Open Browser & Enter Url    ,http://49.249.28.218:8889/dolibarr,Login page Should be Displayed
,,,2. Login with valid credentials ,UserName : admin Password : admin123,Home page should displayed
,,,3. Click on Admin Tools Link,,
,,,4. Click on Triggers Link    ,,Triggers page should be dislayed
