TC_ID,TC Name,TC Desciption,Test Step,Test Data,Test Result
Stratos_Home_ITS01,Home Tab > User & Groups > Users > New Users [To] Home Tab > User & Groups > Users > List of Users,"""Create a new user with all the Credentials Navigate to List of users Check The user created is displayed""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on User & Group link,,user & group page should be displayed
,,,3. Click on New User Link,,new user creation page should be diaplayed
,,,4. Fill All the Details,User : Elon Musk Password elonmusk123456,
,,,5. Click on Create User,,user should be created
,,,6. Click on List of Users,,list of users page should be displayed
,,,7. Search for the User Created,,user should displayed
Stratos_Home_ITS02,Home Tab > User & Groups > Users > New Users [To] Home Tab > User & Groups > Users > Hierarchical View > Superadmin,"""add New user under Super admin Navigate to Hierarchical View Check The user added is displayed under Superadmin""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on User & Group link,,user & group page should be displayed
,,,3. Click on New User Link,,new user creation page should be diaplayed
,,,4. Fill All the Details add Under SuperAdmin,User : Elon Musk Password elonmusk123456,
,,,5. Click on Create User,,user should be created
,,,6. Click on Hierarchical View,,list of users page should be displayed
,,,7. Expand Super Admin,,user should displayed
Stratos_Home_ITS03,Home Tab > User & Groups > Groups > New Groups [To] Home Tab > User & Groups > Groups > List of Groups,"""Create New Group Navigate to List of Groups Check The user added is displayed under Superadmin""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
,,,2. Click on User & Group link,,user & group page should be displayed
,,,3. Click on New group Link,,new Group creation page should be diaplayed
,,,4. Fill All the Details,User : Elon Musk Password elonmusk123456,
,,,5. Click on Create Group,Group : Tesla,Group should be created
,,,6. Click on List of Groups,,list of Group page should be displayed
,,,7. Check for Created Group,,Group should displayed
Stratos_Home_ITS04,Home Tab > User & Groups > Users > list of groups > Group > add User [To] Home Tab > User & Groups > Users > List of Users > User Page ,"""add user under Group Navigate to User page Check The Group name is displayed under User page""",1.Login to Application as Super Admin,UserName : admin Password : admin123,Home Page Should Displayed
